id;category_id;label;icon;sort_order;created_at;updated_at
4a0a3bff-02e7-4a41-a9c3-a487985e7736;dabeb090-5a0d-4db9-9895-342ae1e0d49c;Supermercado;🛒;1;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
95674a8a-8d0d-44de-b8bb-06c9dc595758;dabeb090-5a0d-4db9-9895-342ae1e0d49c;Restaurante;🍽️;2;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
2495f817-5e64-49ad-aba2-513c1676b3d8;dabeb090-5a0d-4db9-9895-342ae1e0d49c;Delivery;🛵;3;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
03c1096b-75ba-4319-b16b-d13872ab94c4;dabeb090-5a0d-4db9-9895-342ae1e0d49c;Padaria/Café;☕;4;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
1da91937-d786-4e7c-a4d8-cf7185cdebef;dabeb090-5a0d-4db9-9895-342ae1e0d49c;Açougue/Hortifruti;🥩;5;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
617a46cc-c58b-40ff-b2fd-620229bedf8f;dabeb090-5a0d-4db9-9895-342ae1e0d49c;Outros;🍔;6;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
4ce80f33-6d98-4721-bb75-d0af2eec7ae4;b2203df8-4608-4a50-87b2-43fa11c262da;Uber/99;🚕;1;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
efb2316a-2ed3-4e2f-b216-bfa8c180ddc9;b2203df8-4608-4a50-87b2-43fa11c262da;Ônibus/Metrô;🚌;2;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
2e90c3e0-e6d8-44e2-a7da-05ee2d22baf5;b2203df8-4608-4a50-87b2-43fa11c262da;Combustível;⛽;3;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
44c16c12-7d23-43d0-8328-36a426ebd4c3;b2203df8-4608-4a50-87b2-43fa11c262da;Estacionamento;🅿️;4;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
5b32b140-6f2b-44b6-b6c2-49e0c9c2a25c;b2203df8-4608-4a50-87b2-43fa11c262da;Manutenção;🔧;5;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
fa77dce7-3134-4da3-92eb-d60a2891fb12;b2203df8-4608-4a50-87b2-43fa11c262da;IPVA/Licenciamento;📋;6;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
a6edf4a6-acbe-44b0-9334-81086839365a;b2203df8-4608-4a50-87b2-43fa11c262da;Pedágio;🛣️;7;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
e3a12658-2bb1-4124-9ce7-333a7ca479a6;b2203df8-4608-4a50-87b2-43fa11c262da;Outros;🚗;8;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
dbb4705c-3e49-4e4d-a496-8177a71f2f56;d154e939-73e3-44dc-97ed-e1961ad5ebc2;Aluguel;🏠;1;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
0a7a3146-9f45-4afc-8033-1f011c1a99cb;d154e939-73e3-44dc-97ed-e1961ad5ebc2;Condomínio;🏢;2;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
7968cdd5-687d-4e86-96ce-7827919f32ae;d154e939-73e3-44dc-97ed-e1961ad5ebc2;Energia;⚡;3;2026-04-16 23:06:25.145754+00;2026-04-16 23:06:25.145754+00
